,hostname,pl_letter,pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,ra,dec,pl_orbincl,pl_orbeccen,pl_orbpererr1,sy_vmag,sy_hmag,sy_jmag,sy_kmag,st_teff,st_rad,st_mass,pl_eqt,pl_trandep,pl_trandur,pl_tranmid
1879,K2-3,d,K2-3 d,44.55646,0.2097,0.136,0.00881,172.33537080000002,-1.4551364,89.788,0.0,0.00011,12.168,8.805,9.421,8.561,3896.0,0.56,0.6,282.0,0.0782,4.17,2456826.22346
1881,WASP-20,b,WASP-20 b,4.8996284,0.06,1.462,0.311,5.1605621,-23.935789399999997,85.56,0.0,3.3e-06,10.675,9.417,9.701,9.39,5940.0,1.39,1.2,1379.0,1.164,3.4032,2455715.65562
1910,WASP-74,b,WASP-74 b,2.13775,0.03705,1.36,0.72,304.53884300000004,-1.0760033000000002,79.81,0.0,1e-06,9.75,8.286,8.548,8.221,5990.0,1.42,0.98,1910.0,0.96,2.292,2456506.892589
1931,K2-18,b,K2-18 b,32.939623,0.1429,0.21100000000000002,0.028069999999999998,172.560141,7.5878315,89.579,0.2,9.5e-05,13.477,9.135,9.763,8.899,3457.0,0.41,0.36,284.0,0.3098,2.682,2457264.3914400004
1957,GJ 1132,b,GJ 1132 b,1.628931,0.0153,0.10099999999999999,0.005220000000000001,153.7090696,-47.1549358,86.58,0.22,2.7e-05,13.68,8.666,9.245,8.322,3270.0,0.21,0.18,529.0,,,2457184.5575900003
1963,HD 175607,b,HD 175607 b,29.01,,0.263,0.02825,285.27429010000003,-66.1943379,,0.11,0.02,8.6,6.928,7.28,6.881,5392.0,0.7,0.71,,,,
1973,Wolf 1061,b,Wolf 1061 b,4.8869,0.0375,0.10800000000000001,0.00601,247.57482760000002,-12.6676866,,0.15,0.0005,10.1,5.373,5.95,5.075,3342.0,0.31,0.29,,,,
1974,Wolf 1061,c,Wolf 1061 c,17.8719,0.089,0.14800000000000002,0.01073,247.57482760000002,-12.6676866,,0.11,0.0059,10.1,5.373,5.95,5.075,3342.0,0.31,0.29,,,,
1975,Wolf 1061,d,Wolf 1061 d,217.21,0.47,0.24,0.02423,247.57482760000002,-12.6676866,,0.55,0.55,10.1,5.373,5.95,5.075,3342.0,0.31,0.29,,,,
2015,KELT-10,b,KELT-10 b,4.1662739,0.0525,1.399,0.679,284.5483823,-47.0033072,88.61,,6.3e-06,10.617,9.388,9.693,9.338,5948.0,1.21,1.11,1377.0,1.416,3.744,2457066.72045
2023,WASP-126,b,WASP-126 b,3.28883,0.0449,0.96,0.28411,63.374706,-69.2265926,89.51,0.18,3.71e-05,10.994,9.659,9.962,9.598,5800.0,1.27,1.12,1480.0,0.7125319999999999,3.410191,2458327.520924
2034,WASP-123,b,WASP-123 b,2.9776412,0.04263,1.318,0.899,289.4792124,-32.860124400000004,85.74,0.0,2.3e-06,11.03,9.457,9.799,9.362001,5740.0,1.29,1.17,1520.0,1.11,3.0936,2456845.17082
2048,K2-38,b,K2-38 b,4.01593,0.050730000000000004,0.17,0.06,240.03330950000003,-23.1894196,87.28,,0.0005,11.344,9.6,9.911,9.47,5757.0,1.38,2.24,1184.0,0.016,2.7408,2456896.8693
2049,K2-38,c,K2-38 c,10.56103,0.0964,0.21600000000000003,0.03115,240.03330950000003,-23.1894196,88.61,,0.0009,11.344,9.6,9.911,9.47,5757.0,1.1,1.07,858.0,0.0484,2.533,2456900.4752
2065,Proxima Cen,b,Proxima Cen b,11.186,0.0485,0.096,0.004,217.39346569999998,-62.6761821,,0.35,0.001,11.01,4.835,5.357,4.384,3050.0,0.14,0.12,234.0,,,
2067,HD 3167,b,HD 3167 b,0.959624,0.0186,0.152,0.015790000000000002,8.740148699999999,4.3807215,88.4,0.0,2.8e-05,8.97,7.203,7.548,7.066,5528.0,0.87,0.94,1669.0,0.0294,1.65,2457393.41539
2068,HD 3167,c,HD 3167 c,29.83832,0.1841,0.255,0.03083,8.740148699999999,4.3807215,89.33,0.267,0.002905,8.97,7.203,7.548,7.066,5528.0,0.87,0.94,531.0,0.0946,4.81,2457394.98984
2070,HD 133131 A,c,HD 133131 A c,3568.0,4.49,1.28,0.42,225.89845240000002,-27.8431369,,0.49,1084.0,7.66,6.949,7.256,6.895,5799.0,,0.95,,,,
2087,HD 42618,b,HD 42618 b,149.61,0.554,0.34700000000000003,0.04531,93.00321729999999,6.7819742,,0.19,0.37,6.87,5.385,5.701,5.301,5727.0,1.0,1.02,337.0,,,
2103,GJ 536,b,GJ 536 b,8.7076,0.06661,0.19399999999999998,0.01686,210.2597264,-2.6522901,,0.08,0.0022,9.71,5.935,6.516,5.683,3685.0,0.5,0.52,,,,
2119,WASP-127,b,WASP-127 b,4.178062,0.052,1.37,0.18,160.5587646,-3.8349989,88.7,0.0,2e-06,10.148,8.738,9.092,8.641,5620.0,1.39,1.08,1400.0,1.037,4.308,2457248.74131
2154,GJ 3323,b,GJ 3323 b,5.3636,0.03282,0.109,0.00636,75.4868824,-6.9485133,,0.23,0.0007,12.57,7.065,7.617,6.736,3159.0,0.12,0.16,,,,
2155,GJ 3323,c,GJ 3323 c,40.54,0.1264,0.11800000000000001,0.00727,75.4868824,-6.9485133,,0.17,0.21,12.57,7.065,7.617,6.736,3159.0,0.12,0.16,,,,
2156,GJ 273,b,GJ 273 b,18.6498,0.091101,0.135,0.00909,111.85209099999999,5.225807,,0.1,0.0059,9.84,5.219,5.714,4.857,3382.0,0.29,0.29,,,,
2157,GJ 273,c,GJ 273 c,4.7234,0.036467,0.094,0.00371,111.85209099999999,5.225807,,0.17,0.0004,9.84,5.219,5.714,4.857,3382.0,0.29,0.29,,,,
2158,GJ 3293,d,GJ 3293 d,48.1345,0.19394,0.23800000000000002,0.02391,67.1484425,-25.1713396,,0.12,0.0628,11.945,7.749,8.362001,7.486,3466.0,0.4,0.42,,,,
2160,GJ 3293,e,GJ 3293 e,13.2543,0.08208,0.145,0.010320000000000001,67.1484425,-25.1713396,,0.21,0.0078,11.945,7.749,8.362001,7.486,3466.0,0.4,0.42,,,,
2167,LHS 1140,b,LHS 1140 b,24.736959,0.0936,0.154,0.02196,11.248632,-15.274108499999999,89.89,0.06,8e-05,14.15,9.092,9.612001,8.821,3216.0,0.21,0.18,235.0,,,2456915.71154
2171,KELT-11,b,KELT-11 b,4.7361,0.06229,1.35,0.171,161.70690530000002,-9.3993646,85.3,0.0007,3e-05,8.04,6.251,6.616,6.122,5375.0,2.69,1.44,1712.0,0.265,7.1376,2457483.431
2175,HD 3167,d,HD 3167 d,8.509,0.07757,0.225,0.02171,8.740148699999999,4.3807215,,0.36,0.045,8.97,7.203,7.548,7.066,5261.0,0.86,0.86,,,,2457806.07
2193,WASP-107,b,WASP-107 b,5.72149,0.055,0.94,0.12,188.38642769999998,-10.1462141,89.7,0.0,2e-06,11.592,8.777,9.378,8.637,4430.0,0.66,0.69,770.0,2.17,2.7528,2456514.4106
2206,K2-129,b,K2-129 b,8.239493,0.057,0.09300000000000001,0.00352,289.1485491,-25.646323300000002,89.21,0.13,0.000292,13.639,9.102,9.697,8.852,3459.09,0.36,0.36,,0.0858,1.512,2457335.009
2216,WASP-156,b,WASP-156 b,3.836169,0.0453,0.51,0.128,32.782084999999995,2.4181937000000002,89.1,0.007,3e-06,11.559,9.473,9.906,9.339,4910.0,0.76,0.84,970.0,,2.41,2454677.707
2219,HD 34445,c,HD 34445 c,214.67,0.7181,0.752,0.168,79.4207483,7.352715600000001,,0.036,0.45,7.31,5.848,6.122,5.79,5836.0,1.38,1.07,,,,
2220,HD 34445,d,HD 34445 d,117.87,0.4817,0.542,0.097,79.4207483,7.352715600000001,,0.027,0.18,7.31,5.848,6.122,5.79,5836.0,1.38,1.07,,,,
2221,HD 34445,e,HD 34445 e,49.175,0.2687,0.38,0.0529,79.4207483,7.352715600000001,,0.09,0.045,7.31,5.848,6.122,5.79,5836.0,1.38,1.07,,,,
2222,HD 34445,f,HD 34445 f,676.8,1.543,0.613,0.119,79.4207483,7.352715600000001,,0.031,7.9,7.31,5.848,6.122,5.79,5836.0,1.38,1.07,,,,
2223,HD 34445,g,HD 34445 g,5700.0,6.36,1.21,0.38,79.4207483,7.352715600000001,,0.032,1500.0,7.31,5.848,6.122,5.79,5836.0,1.38,1.07,,,,
2225,GJ 9827,b,GJ 9827 b,1.2089819,0.0188,0.141,0.01545,351.7717763,-1.2853435,86.07,0.0,6.93e-06,10.37,7.379,7.984,7.193,4340.0,0.6,0.61,1043.5,0.0586,1.2648,2457738.8258599997
4079,K2-24,c,K2-24 c,42.3391,0.247,0.669,0.04845,242.5734559,-24.9906029,89.76,0.07,0.0012,11.275,9.294,9.635,9.18,5625.0,1.16,1.07,560.0,0.4372,6.498,2456915.4485
4080,K2-24,b,K2-24 b,20.88977,0.154,0.48200000000000004,0.05977999999999999,242.5734559,-24.9906029,89.25,0.06,0.00034,11.275,9.294,9.635,9.18,5625.0,1.16,1.07,709.0,0.2213,5.49792,2456905.8855
4095,K2-167,b,K2-167 b,9.977481,,0.252,0.0262,336.5761233,-18.011665,88.604,,0.001039,8.24,6.974,7.202,6.887,5908.0,1.83,1.02,,0.0275,3.27,2456979.93678
4102,K2-265,b,K2-265 b,2.369172,0.033760000000000005,0.153,0.02058,342.0316493,-14.494778899999998,87.7,0.084,8.9e-05,11.187,9.312,9.726,9.259,5477.0,0.98,0.92,,0.031939999999999996,2.266,2456981.6431
4121,K2-116,b,K2-116 b,4.655411,0.048,0.062,0.00081,336.1523363,-11.5793181,89.09,0.06,0.000486,10.8,8.020000999999999,8.597,7.875,4348.35,0.67,0.69,,0.0129,1.89,2456979.948
4124,K2-65,b,K2-65 b,12.6475,0.1014,0.141,0.00982,333.2125206,-10.9261373,89.148,,0.0013,10.71,8.457,8.967,8.344,5213.0,0.84,0.87,,0.0391,3.43,2456986.3303
4135,K2-39,b,K2-39 b,4.60543,0.05708,0.56,0.09,338.36820950000003,-9.0229405,80.39,0.0,0.00046,10.831,8.594,9.082,8.516,4881.0,2.97,0.66,1670.0,0.037,8.184,2456980.8236
4205,K2-277,b,K2-277 b,6.326763,0.0675,0.185,0.0155,202.0161895,-15.9379749,88.686,,0.000355,10.364,8.748,9.081,8.687,5741.0,0.97,1.02,958.0,0.045,1.944,2457221.22958
4210,K2-190,b,K2-190 b,10.098858,,0.121,0.00758,205.36304850000002,-13.160868599999999,88.35700000000001,,0.000619,11.138,9.447,9.834,9.41,5631.0,0.91,0.9,,0.00731,4.224,2457224.76792
4228,K2-198,c,K2-198 c,3.3596055,,0.127,0.00822,198.8436817,-6.4649887999999995,86.494,,4e-06,10.971,9.313,9.741,9.228,5212.9,0.76,0.8,1229.9,0.018,1.42008,2457215.032
4229,K2-198,d,K2-198 d,7.4500177,,0.218,0.0205,198.8436817,-6.4649887999999995,89.86,,5.2e-06,10.971,9.313,9.741,9.228,5212.9,0.76,0.8,943.2,0.1082,3.0024,2457213.5759
4230,K2-198,b,K2-198 b,17.0428683,,0.374,0.0514,198.8436817,-6.4649887999999995,88.904,,7.1e-06,10.971,9.313,9.741,9.228,5212.9,0.76,0.8,715.8,0.2737,2.9592,2457204.5687
